id,date,text,views,forwards,replies,channel_short
14864,2026-05-14T12:02:09+00:00,"**Эскадренный броненосец «Император Александр III»**

Был заложен 11 мая 1900 года в Санкт-Петербурге на Балтийском заводе. Принял участие в Цусимском сражении. Затонул 14 (27) мая 1905 года. Никто из команды броненосца не спасся.",1776,7,,historyrussi
14863,2026-05-13T12:04:12+00:00,"Английские самодвижущиеся локомобили (дорожные паровозы) «Фоулер» с топками на соломе, 1875 год, Самарская губерния.",1802,7,,historyrussi
14862,2026-05-13T07:04:08+00:00,"[​​](https://telegra.ph/file/9b89e8000af5d7427fb0b.jpg)[​​](https://telegra.ph/file/9b89e8000af5d7427fb0b.jpg)**Ставленый мёд**

Приготовление хмельных напитков на основе меда было целым искусством, которым занимались мастера — медоставы. Варили их по уникальным, характерным только для славянских народов, рецептам. А само производство напитков занимало не один год. В итоге получался «ставленый мед».

Для начала две части меда смешивали с одной частью ягодного сока: малины, брусники, вишни, смородины. Главное правило — не добавлять ни капли воды. Шел процесс естественного брожения. Употребление таких напитков уберегало пирующих от неприятных последствий — похмелья. Некоторое время смесь бродила в открытых емкостях, ее несколько раз переливали из одной посуды в другую. Затем разливали в дубовые бочонки, снаружи их наглухо смолили и закапывали в землю. На несколько лет.

Процесс называли «медоставом». отсюда и название самого напитка.
Доставать из земли мед не торопились. Процесс приготовления не терпел суеты. Считалось, что минимальный срок «медостава» — восемь лет. Но, в этом случае напиток называли «молодым», недостаточно настоявшимся. Полностью созревшим он становился только через пятнадцать лет. Но, в некоторых, особенно торжественных случаях, бочонки вскрывали только через несколько десятилетий. Иногда случалось так, что мед, который готовили еще деды, доставался лишь внукам. Иногда в сказаниях упоминают даже «столетний мед».

Первые сведения о приготовлении «ставленого меда» на Руси относятся к IX веку. Это был любимый напиток славянских богатырей. Он придавал им силу и бодрость, оберегая, как уже говорилось, от тяжелого похмелья. В былинах даже приводились сведения о том, что медовый напиток помог Илье Муромцу встать на ноги и приобрести феноменальную силу. При княжеских дворах всегда находились большие запасы медовых напитков.

«Ставленый мед» был, конечно, замечательным по своим свойствам напитком, вот только стоил он очень не дешево, да и ждать конечного выхода продукта приходилось годами. Если князья с дружиной могли себе это позволить, то простолюдинам приходилось искать более дешевые заменители. Уже в XI веке на Руси появляется «вареный мед». И готовили этот напиток не медоставы, а медовары. Вареный мед готовили уже с добавлением воды и хмеля, что позволяло значительно ускорить процесс брожения. напиток получался более крепким, но менее качественным. И сам процесс приготовления занимал лишь несколько недель.

Постепенно ставленый мед превращается в роскошь, встретить его можно было только в усадьбах влиятельных бояр. Все большее распространение получают медовые напитки, напоминающие современное пиво. В XVII веке медоварение, не говоря уже о ставленом меде, становится большой редкостью. Даже большинство рецептов было безвозвратно утеряно.",1734,28,,historyrussi
14861,2026-05-12T18:00:14+00:00,"Вид на Кремль во время наводнения, 1908 год.",1590,9,,historyrussi
14860,2026-05-12T15:09:08+00:00,"Двухэтажный пассажирский вагон, созданный на Тверском вагоностроительном заводе в 1905 году.",1827,17,,historyrussi
14859,2026-05-12T13:03:08+00:00,"**У этой книги было другое имя.

**То, что вы сегодня знаете как «[Кодекс чести русского офицера](https://chernaya100.com/kulchitsky-officer/history?utm_source=history)»[,](https://chernaya100.com/kulchitsky-officer) появилось в 1915 году под гораздо более скромным названием — «Советы молодому офицеру».

Ротмистр Кульчицкий написал свою брошюру в разгар мировой войны, когда армия теряла элиту, а на смену погибшим командирам приходили вчерашние гимназисты, инженеры, учителя. Их учили стрелять, а вот быть офицерами — нет.

Кульчицкий стал для них заочным наставником. Его советы оказались настолько точными, что выдержали **6 переизданий ещё в Империи — бешеный успех для того времени.** Брошюру читали в блиндажах под немецкими обстрелами, хранили в планшетах и передавали друзьям.

**Спустя век «Чёрная Сотня» вернула этот текст, дав ему имя, которое он заслужил по праву — «Кодекс чести русского офицера»**. За эти годы мы выпустили десятки тысяч экземпляров, и «русское бусидо» стало главной книгой издательства. Потому что понятия долга и достоинства не имеют срока давности.

**__♥️ __**[**__Приобрести книгу__**](https://chernaya100.com/kulchitsky-officer/history?utm_source=history)",1796,6,,historyrussi
14858,2026-05-12T12:00:14+00:00,"Русско-японская война. Окропление знамени святой водой, 1904-1905.",1448,4,,historyrussi
14857,2026-05-12T09:05:11+00:00,"Аэроплан (Ньюпор) в грузовике фирмы Бенц. Русские авиаторы на кавказском фронте, 1916 год.",1736,6,,historyrussi
14856,2026-05-12T07:04:07+00:00,"[​​](https://cdn30.notepost.ru/m0gbKnmEeB5kDuBl-1712740723008.jpeg)[​​](https://cdn30.notepost.ru/m0gbKnmEeB5kDuBl-1712740723008.jpeg)**Венгерский поход**

Революционная волна, которая потрясла Западную Европу в 1848 году, захлестнула и империю Габсбургов. Вся Венгрия была охвачена революцией. Восстания охватили и славянские области, кроме Хорватии, где ненавидели венгров и остались лояльны Габсбургам. Также Вена в это время вела войну в Италии с Сардинией, что ослабило возможности армии по наведению порядка внутри империи.

​​Попытка австрийских войск подавить революцию в Венгрии, начавшуюся в марте 1848 г., потерпела провал. 2 апреля 1849 г. венгерские повстанцы низложили австрийскую династию Габсбургов и провозгласили полную независимость своей страны. 

В апреле 1849 г. австрийский император Франц-Иосиф обратился за помощью к российскому императору Николаю I. Он отправил к австрийской границе 4 пехотных корпуса русской армии численностью 175 тыс. чел.

 10-тысячная дивизия генерала Ф.С. Панютина направилась к Вене, чтобы не дать венгерским войскам захватить австрийскую столицу. В июне 1849 г. с севера, с территории Царства Польского, начали поход в Венгрию главные силы русских войск (150 тыс. чел.) под командованием генерал-фельдмаршала И.Ф. Паскевича. 

Русская армия подавила Венгерское восстание и спасла Австрийскую империю от развала. В августе-сентябре 1849 г. русские войска вернулись на родину. В результате Венгерского похода потери русских войск составили 708 чел. убитыми и 2447 ранеными. 

Военная победа, одержанная Россией, не принесла ей никаких политических выгод. Напротив, австрийская династия Габсбургов укрепила свое положение после революции 1848-1849 гг. и несколько лет спустя, во время Крымской войны 1853-1856 гг., заняла враждебную позицию в отношении России.",2013,13,,historyrussi
14855,2026-05-11T12:06:06+00:00,"Спуск на воду крейсера 1-го ранга ""Аврора"". Санкт-Петербург. Российская империя. 11 мая 1900 года.",1724,12,,historyrussi
