id,date,text,views,forwards,replies
4746,2026-05-18T13:56:01+00:00,"«**Литература становится эмоциональным рынком**: сегодня мне нужно что-то утешительное, завтра — что-то страшное, послезавтра — что-то короткое, потому что у меня мало времени и мало сил. **Текст теряет связность и превращается в набор пригодных фрагментов**, а читатель перестаёт видеть, зачем вообще идти через целое, если в финале его всё равно попросят объяснить ""о чём это"" в двух предложениях, например на школьном уроке».

Разбираемся, почему так происходит и **что нейросети делают с литературой:** https://postnauka.org/talks/157988",1808,26,0
4745,2026-05-18T05:30:15+00:00,"Нарушение CP-симметрии (комбинации зеркального отражения пространства и замены частицы на античастицу) — **необходимое условие существования вещества во Вселенной в её нынешнем виде**. Предполагается, что после Большого взрыва материя и антиматерия возникали почти в равных количествах. **Если бы CP-симметрия была точной, они почти полностью аннигилировали** бы, и во Вселенной не возникли бы звёзды, галактики и жизнь. 

Согласно современным оценкам, **на каждые примерно 10 миллиардов античастиц приходилась одна «лишняя» частица материи. **Вся наблюдаемая материя Вселенной — результат этого крошечного перекоса.

**5 фактов о симметрии: **https://postnauka.org/lists/158030",1947,31,0
4744,2026-05-17T14:21:01+00:00,"«Медицина и биотехнологии почти полностью сфокусированы только на лекарствах, которые **помогают тебе подольше прожить при условии, что ты уже заболел. **Именно поэтому у нас есть огромное количество слабых лекарств от старения. **Все, что лечит конкретную болезнь, — это слабые лекарства**», — эксперт в области биологии старения и долголетия Петр Федичев.
**
Может ли появиться настоящее лекарство от старения? **Объясняет Петр Федичев в лонгриде о биологии старения, пределах жизни, препаратах будущего и фарме: https://postnauka.org/talks/158031",2053,24,0
4743,2026-05-17T06:51:01+00:00,"В ноябре 2025 года в журнале Nature Communications были опубликованы результаты [исследования](https://www.nature.com/articles/s41467-025-65974-8), согласно которому **мозг человека проходит через пять эпох, разделённых четырьмя переломными точками.** Команда из Кембриджа проанализировала **МРТ-снимки 3 802 человек в возрасте от 0 до 90 лет** и с помощью машинного обучения и теории графов обнаружила поворотные моменты в **9, 32, 66 и 83 **года.

Но мозг — это не только возраст и структура. Вопрос, который учёные пока не могут решить: **как из этих миллиардов нейронов вообще возникает «я»? **Откуда берётся субъективный опыт — то самое ощущение, что ты существуешь?

Именно об этом **следующий эпизод подкаста «Мыслить как учёный» с нейробиологом Константином Анохиным. **Выпуск — во вторник на [YouTube-канале](https://www.youtube.com/playlist?list=PLh6dVTO7f4FbMep18vRy-o92qPFLWKuRV) ПостНауки. Подписывайтесь, чтобы не пропустить!",2138,45,3
4742,2026-05-16T06:09:01+00:00,"🎙[Инновационное чудо Израиля](https://yt.openinapp.co/2yldj) | Ивар ft. Роман Гольд

📝[Старение как главная проблема XXI века](https://postnauka.org/talks/158031): Петр Федичев о пределах жизни, лекарствах будущего и фарме

[📝Как академия наказывает любопытство](http://postnauka.org/talks/158034), а AI заставляет переделывать образование  

[📝Как Израиль превратил инженерную культуру](http://postnauka.org/longreads/158032) в венчурную индустрию 

📝[5 фактов о симметрии](https://postnauka.org/lists/158030): от теоремы Нётер до хиральности живой клетки

📝[Тест](http://postnauka.org/tests/158033): как устроен израильский венчур 

#PNweekly",2071,10,1
4741,2026-05-15T14:22:01+00:00,"ПостНаука и [Naukka Talents](https://naukka.com/talents/) продолжают **цикл вебинаров о международной карьере **для ученых и STEM-специалистов! 

**Ивар Максутов **годами наблюдает за траекториями сотен ученых и знает, как устроена коммуникация в наукоемких сообществах. **22 мая он расскажет о стратегии личного бренда для STEM-специалиста. **Подробности — [по ссылке](https://luma.com/4ysra6qc). 

Вебинар доступен **только участникам программы Naukka Talents.** [Регистрируйтесь](https://talents.naukka.com/candidateportal?register=true) на платформе, чтобы присоединиться и попасть на встречу.",2080,11,0
4740,2026-05-15T06:24:01+00:00,"408 лет назад, 15 мая 1618 года, немецкий астроном Иоганн Кеплер окончательно сформулировал последний — третий — закон движения планет. Его законы **стали первым точным математическим описанием движения небесных тел вокруг Солнца.**

Первые два закона он сформулировал в 1602 и 1605 годах, опираясь на наблюдения датского астронома Тихо Браге и детально анализируя орбиту Марса. Третий закон — результат сопоставления данных по известным на тот момент планетам — Кеплер вывел в процессе поиска численного выражения «гармонии мира».

[__Что нужно знать о движении планет__](https://postnauka.org/longreads/155685)",2108,19,0
4739,2026-05-14T13:15:00+00:00,"Представим, что Вселенная поделена на **концентрические слои **толщиной в 1 световой год. В каждом слое какое-то количество звёзд. Если Вселенная однородна, то **в слое вдвое дальше звёзд будет вчетверо больше, но каждая из этих звёзд светит вчетверо слабее**. В итоге суммарный свет от дальнего слоя равен суммарному свету от ближнего, то есть каждый слой даёт одинаковый «вклад» в яркость неба. **Слоёв бесконечно много — значит, и света должно быть бесконечно много. **Ночное небо должно быть ослепительно ярким, но оно тёмное. В этом и состоит парадокс Ольберса.

**Современное объяснение парадокса: **https://postnauka.org/questions/157902",2105,20,0
4738,2026-05-14T06:14:29+00:00,"Хорошо сделанный генетически модифицированный сорт может **совмещать устойчивость к болезни, засухе, длительному хранению и приличный вкус **— и быть выведен не за 20 лет, как при классической селекции, а существенно быстрее. Блокировка этой технологии на уровне потребительской политики привела к тому, что **в ряде стран фермеры продолжают воевать с уже решенными биологически проблемами**, а сама индустрия тратит огромные ресурсы на обход ограничений.
**
Сможет ли мир прокормить себя? **Слушайте [в подкасте](https://youtu.be/X1w0_qi-0RA) с PhD по биоинформатике Валерией Коган.",2178,18,0
4737,2026-05-13T16:20:52+00:00,"Долгое время казалось, что** у каждого вида есть свой геном **— последовательность ДНК, которую можно прочитать, описать и положить в основу выводов о том, что вид собой представляет. Но когда биологи начали секвенировать разные штаммы одних и тех же бактерий, выяснилось неожиданное: **внутри вида скрыта генетическая подвижность**, а «норма» распадается на жёсткое ядро и большую переменную периферию.

Что такое пангеном и **зачем биологам понадобился новый термин вместо привычного «эталонного генома»? **Рассказывает доктор биологических наук Михаил Гельфанд: https://postnauka.org/longreads/158008",2201,17,0
