id,date,text,views,forwards,replies
14842,2026-05-01T12:02:19+00:00,"Первомайская солдатская манифестация в Пскове, 1917 год.",2097,7,
14841,2026-05-01T09:04:19+00:00,"Агитационный автомобиль, 1 мая 1919 года, Петроград.",2020,6,
14840,2026-05-01T06:49:23+00:00,Первомайская демонстрация в разрушенном Сталинграде. На переднем плане хвост сбитого немецкого бомбардировщика Хейнкель He-111. 1 мая 1943 года.,2037,14,
14839,2026-04-29T07:30:10+00:00,"[​​](https://telegra.ph/file/89c07b946a299a45e525d.jpg)[​​](https://telegra.ph/file/89c07b946a299a45e525d.jpg)**Ляля**

Лялю можно назвать не только одним из самых легендарных разбойников, но и самым «литературным». Поэт Николай Рубцов написал о нем поэму «Разбойник Ляля».

Сведения о нем находили и краеведы, что неудивительно, поскольку до сих пор в Костромской области сохранились топонимы, напоминающие об этом лихом человеке. Это Лялина гора и один из притоков реки Ветлуги, носящий название Лялинка.

Краевед А.А. Сысоев писал: «В ветлужских лесах гулял со своей шайкой разбойник Ляля – это один из атаманов Степана Разина… который жил в горах у самой реки Ветлуги недалеко от Варнавина. По легенде, Ляля ограбил и сжег Нововоздвиженский монастырь на реке Большой Какше близ деревни Ченебечихи». Это может быть правдой, поскольку в конце 1670 года здесь действительно побывал отряд разинцев. Ляля со своей ватагой появился в Костромских лесах после подавления разинского восстания.

Он выбрал место для разбойничьего стана на высокой горе с тем расчетом, чтобы иметь стратегическое преимущество при грабеже проходящих неподалеку по зимнему тракту обозов. С весны до осени по Ветлуге купцы везли на судах товар, а по дороге часто останавливались в Камешнике. 

Основным промыслом ватаги Ляли был сбор выкупа с купцов, местных феодалов и помещиков.
Легенды рисуют его, как это водится в фольклоре, строгим, резким и властным, но справедливым. Сохранился и его примерный портрет: «Это был широкоплечий, мускулистый мужик среднего роста; лицо загорелое, грубое; глаза черные под кустистыми нахмуренными бровями; волосы темные».

Шайку Ляли не раз хотели изловить, но отряды, присылаемые для поимки разбойника, постоянно сталкивались со слишком лояльным отношением местных мужиков к Ляле – они относились к нему скорее с уважением, Лялю предупреждали о появлении отрядов, некоторые деревенские мужики даже примкнули к ватаге. Однако со временем ватага все-таки редела, да и Ляля все больше тяготился своим промыслом. Поэтому решил схоронить свое богатство – утопил в озере (оно до сих пор называется Кладовым) и зарыл в горе. Где они до сих пор и хранятся. Конечно, если верить легенде.",2034,9,
14838,2026-04-28T07:09:05+00:00,"**Лизетта**

Лизетту можно уверенно назвать самой известной лошадью в русской истории. В Полтавской битве она спасла царя от смерти: когда Петр оказался один перед шведами, которые открыли прицельный огонь, Лизетта равнула в сторону и спасла ездока, только одна пуля раздробила луку седла. 

Вскоре после Полтавской битвы Лизетта получила почётную отставку по возрасту. После её смерти Пётр велел сделать чучело любимой лошади. 

Абсолютно на всех полотнах, на которых изображён Пётр-всадник, красуется Лизетта. Почти все конные статуи с Петром Великим, также «имеют в своей основе» легендарную Лизетту.",2151,14,
14837,2026-04-27T16:04:10+00:00,"Монтаж паровой машины на Кошелевских писчебумажных фабриках, Новгородская губ., 1900-е.",1849,5,
14836,2026-04-27T13:05:09+00:00,,2231,12,
14835,2026-04-27T13:05:09+00:00,,2258,12,
14834,2026-04-27T13:05:09+00:00,,1819,12,
14833,2026-04-27T13:05:09+00:00,,1573,12,
14832,2026-04-27T13:05:09+00:00,"Об «Атаке мертвецов» слышали все, но мало кто читал первоисточники.

**Книга «Оборона крепости Осовец»** — уникальный документ. Она написана в 1917 году непосредственными руководителями той самой обороны: начальником штаба крепости Свечниковым и командиром полка Буняковским.

В этой небольшой книге — хроника несгибаемости русского воинства. Холодный анализ того, как дисциплина и мужество ломают планы врага даже в нечеловеческих условиях газовых атак.

**Издание полностью сохраняет дух эпохи: текст напечатан в дореформенной орфографии, внутри — схемы боев и карты.
**
[**Заказать экземпляр**](https://chernaya100.com/svechnikov_bunyakovskiy-osovets/history?utm_source=history)",1406,13,
14831,2026-04-27T12:03:04+00:00,"27 апреля 1702 года - Петр I издал манифест о ввозе иностранцев в Россию с обещанием свободы вероисповедания. Из Европы начали прибывать корабельных и огнестрельных дел мастера, строительные и военные инженеры.",1470,11,
14830,2026-04-27T06:41:04+00:00,"[​​](https://telegra.ph/file/1cc1f08f8f8dc30d653d0.jpg)**Первые российские танковые войска**

Несмотря на наличие в России собственных проектов танков, к их производству не приступили. На 1918 год русское правительство было намерено заказать в Великобритании и Франции танки, хорошо проявившие себя на Западном фронте против Германии. Но революция и гражданская война помешали этим планам.

В результате первые танки в России появились уже только на полях междоусобной брани – в составе Белых армий. Весной 1919 года на юг России прибыли первые английские танки. Тогда же по приказу генерала Антона Деникина в Екатеринодаре был сформирован первый в России танковый дивизион. 27 апреля 1919 года стало днём рождения российских бронетанковых войск.

В октябре 1919 года в Таганроге была открыта танковая школа. Там приглашённые английские инструктора учили русских офицеров и унтер-офицеров обращению с этим новым видом боевой техники. Всего из стен школы вышло несколько десятков кадровых русских офицеров-танкистов.

За время гражданской войны в армии генералов Деникина, Юденича и Врангеля было поставлено больше ста английских и французских танков разных моделей. Их тактическое применение в ряде боёв было успешным, но решительной стратегической роли тогдашние машины сыграть не могли. Большинство танков было подбито или захвачено Красной Армией. Первые танки, принятые на вооружение РККА уже в 1920 году, были трофейными.",1578,7,
14829,2026-04-26T18:00:10+00:00,Россия. Вятка. Вид с реки на пристань и центр города.  Примерно 1900-е гг.,1836,8,
14828,2026-04-26T15:03:04+00:00,"Чешские легионеры охраняют поезд в Сибири в -40, 1918 г.",1661,6,
14826,2026-04-26T11:58:03+00:00,"Нефтяные промыслы в окрестностях Баку, 1890 г.",1589,5,
14825,2026-04-26T08:03:03+00:00,"[​​](https://telegra.ph/file/f9f96b3930d503e5c375e.jpg)[​​](https://telegra.ph/file/f9f96b3930d503e5c375e.jpg)**Саморозогревающиеся консервы**

В Российской империи первый консервный завод был открыт только в 1870 году, в Санкт-Петербурге. Владелец завода Франсуа Азибер, французский предприниматель, осуществлял консервирование по методу Николя Аппера. Но консервы в России прижились далеко не сразу.

Широкому распространению консервов поспособствовала только Первая мировая война. Поначалу консервы (как и на Западе) использовались только на флоте, а затем начали в армии.

Главным преимуществом таких консервов был длительный срок хранения при высокой калорийности содержимого. Стоит отметить, что для производства таких консервов использовались самые лучшие и отнюдь не дешёвые ингредиенты.

В 1904-1905 гг. на частных консервных заводах Петербурга, Одессы, Риги и Митавы (ныне Елгава), работающих на военное ведомство, выпускалось до 250 000 консервных банок в день. В год – почти 70 миллионов банок.

В годы Великой войны 1914-1918 гг. армия стала закупать консервы огромными партиями. Тогда военнослужащим предписывалось греть продукты прямо в заводской таре. 

Несмотря на кажущуюся простоту разогревания консервы, сделать это во фронтовых условиях легко и быстро далеко не всегда представлялось возможным. Хотя бы потому, что развести костер с открытым огнем и валящими клубами дыма из него было нельзя из соображений безопасности. Но появилось необычное ноу-хау от изобретателя и военного инженера Евгения Федорова.

Суть его изобретения была очень проста и дешева в изготовлении. Банка Фёдорова имела двойное дно, в котором находились герметичная ёмкость, наполненная негашёной известью, и вода. При повороте днища ёмкость с известью разрушалась, вода и известь вступали в химическую реакцию, и таким образом банка нагревалась.

Евгений Федоров умер очень рано, в 1909 году. Как огромное количество русских учёных, патентами и защитой своих авторских прав не забивал себе голову. И в этом оказался положительный момент. Как только началась Первая мировая война, сразу несколько производителей без проблем приступили к производству самоподогревающейся тушёнки.

Начиная с 1915 года партии саморазогревающихся консервов в банках Федорова начали поступать на фронт. Для армии подобная тара была настоящей находкой. Сохранилось много свидетельств тому, что банки Фёдорова зачастую становились единственным способом для бойцов получить горячее питание. Конечно, после революции и Гражданской войны выпуск консервов был прекращён фактически полностью.

Впоследствии в годы Великой Отечественной войны советские солдаты даже не мечтали о существовавшей когда-то саморазогревающейся тушенке, в отличии от солдат вермахта, которые наладили производство аналогичных консерв Федорова у себя и активно их применяли в полевых условиях.",1660,26,
