id,date,text,views,forwards,replies
14203,2026-05-20T17:00:51+00:00,"**Уиллем Дефо в роли греческого олигарха**

Новая картина «День рождения» Мигеля Анхеля Хименеса основана на одноименном романе Паноса Карнезиса, а сам персонаж Уиллема Дефо вдохновлен биографией греческого олигарха Аристотеля Онассиса. Фильм был представлен на 78-м кинофестивале в Локарно в программе Piazza Grande. Картина

Покажем премьеру картины в Москве и Краснодаре 3 июня!

Действие разворачивается на частном острове в Средиземном море в конце 1970-х. Могущественный миллиардер устраивает вечеринку в честь дня рождения дочери, но праздник быстро превращается в драму о власти, любви и свободе.

[**«День рождения»**](https://karofilm.ru/film/16136?date=2026-06-03)
**3 июня 20:00 / Москва, киноцентр «Октябрь»**
Разговор __→__ кинокритик, автор канала «Усы Никандера» Кирилл Артамонов

**3 июня в 19:00 / Краснодар, КАРО 8 «Галерея»**
Разговор __→__ киновед, автор канала «Кира пишет» Кира Кац

Партнер показа: дистрибьюторская компания Run of Sun Pictures",1151,29,0
14202,2026-05-20T14:36:05+00:00,,1133,9,
14201,2026-05-20T14:36:05+00:00,,1141,9,
14200,2026-05-20T14:36:05+00:00,,1194,9,
14199,2026-05-20T14:36:05+00:00,,1103,9,
14198,2026-05-20T14:36:05+00:00,,1129,9,
14197,2026-05-20T14:36:05+00:00,,1105,9,
14196,2026-05-20T14:36:05+00:00,,1102,9,
14195,2026-05-20T14:36:05+00:00,,1074,9,
14194,2026-05-20T14:36:05+00:00,"31 мая смотрим киноверсию спектакля «Бесы» новосибирского театра «Красный факел» вместе с Евгением Жариновым. В карточках вас ждут подробности о постановке Андрея Прикотенко, параллелях с поэмой Гоголя и отсылки к фильму Серджио Леоне «Однажды в Америке»👀

[**«Бесы»**](https://karofilm.ru/film/16001?date=2026-05-31)
**31 мая 17:00 / киноцентр «Октябрь»**
Разговор __→__ профессор Евгений Жаринов",1079,9,0
14193,2026-05-20T11:07:18+00:00,"**Локализованный постер фильма «Курочка. Пух и прах» Дьёрдя Пальфи**

Мы покажем смелую и остроумную триллер-комедию о птице, совершившей побег с фермы, на [открытии Летнего фестиваля КАРО/АРТ (про)свет.](https://karofilm.ru/film/16099?date=2026-06-17) Считаем, что это отличный фильм для жаркого июньского вечера 🐓🤍

Партнер показа: A-ONЕ",1201,29,0
14192,2026-05-19T11:36:58+00:00,,1834,34,
14191,2026-05-19T11:36:58+00:00,,1870,34,
14190,2026-05-19T11:36:58+00:00,,1826,34,
14189,2026-05-19T11:36:58+00:00,,1722,34,
