model,train_time_sec,infer_time_sec_total,infer_time_ms_per_sample,f1_macro_subset,n_infer_samples
MultinomialNB,0.0033155831042677164,0.0003262499812990427,0.0003262499812990427,0.8851397762928574,1000
LinearSVC,0.06244758307002485,0.0003435418475419283,0.0003435418475419283,0.9439974449687956,1000
LogisticRegression,1.0333399998489767,0.0011002919636666775,0.0011002919636666775,0.9275232083496798,1000
KNN_k5,0.0007773749530315399,0.14530679187737405,0.14530679187737405,0.1806227701372393,1000
